features,model,strategy,n_dim,macro,joint,mae,bias_B1,bias_B2,bias_B3,bias_B4
F0+spatial,LR,train_val,21,0.7588652482269503,0.2907801418439716,1.0443262411347518,0.02127659574468085,-0.0851063829787234,-0.16312056737588654,0.0070921985815602835
F0,LR,train_only,13,0.7570921985815603,0.3049645390070922,1.0478723404255321,0.014184397163120567,-0.06382978723404255,-0.14184397163120568,0.05673758865248227
F0+distrib+spatial,Ridge,train_only,41,0.7570921985815603,0.3049645390070922,1.047872340425532,0.014184397163120567,-0.11347517730496454,-0.14893617021276595,0.05673758865248227
F0+conf+spatial,Ridge,train_val,41,0.7570921985815602,0.28368794326241137,1.0585106382978724,0.014184397163120567,-0.04964539007092199,-0.14184397163120568,-0.028368794326241134
F0+conf,Ridge,train_val,33,0.7570921985815602,0.28368794326241137,1.053191489361702,0.02127659574468085,-0.0425531914893617,-0.14184397163120568,-0.02127659574468085
F0,XGB,train_val,13,0.7535460992907802,0.3262411347517731,1.0656028368794326,0.02127659574468085,-0.1773049645390071,-0.1773049645390071,0.11347517730496454
F0+distrib,ElasticNet,train_only,33,0.7535460992907801,0.2907801418439716,1.0567375886524824,0.014184397163120567,-0.06382978723404255,-0.1347517730496454,0.05673758865248227
F0+distrib+spatial,LR,train_only,41,0.7517730496453902,0.2978723404255319,1.0567375886524824,0.0070921985815602835,-0.16312056737588654,-0.15602836879432624,0.05673758865248227
F0+distrib+spatial,Ridge,train_val,41,0.75177304964539,0.2765957446808511,1.0638297872340425,0.014184397163120567,-0.0425531914893617,-0.1347517730496454,0.0070921985815602835
F0+distrib,Ridge,train_val,33,0.75177304964539,0.2765957446808511,1.047872340425532,0.014184397163120567,-0.06382978723404255,-0.1347517730496454,0.02127659574468085
F0+distrib+spatial,ElasticNet,train_only,41,0.75177304964539,0.2907801418439716,1.0602836879432624,0.014184397163120567,-0.07092198581560284,-0.14184397163120568,0.05673758865248227
F0+distrib+spatial,LR,train_val,41,0.75177304964539,0.3120567375886525,1.0390070921985815,0.028368794326241134,-0.1347517730496454,-0.16312056737588654,0.0425531914893617
F0+conf+spatial,LR,train_val,41,0.75177304964539,0.2765957446808511,1.0602836879432624,-0.0070921985815602835,-0.05673758865248227,-0.22695035460992907,0.04964539007092199
F0+conf+distrib,LR,train_val,53,0.75,0.2907801418439716,1.0567375886524824,0.014184397163120567,-0.09929078014184398,-0.19148936170212766,0.12056737588652482
F0+conf+spatial,LR,train_only,41,0.7499999999999999,0.2907801418439716,1.0620567375886525,-0.0070921985815602835,-0.12056737588652482,-0.20567375886524822,0.11347517730496454
F0+conf+distrib,LGB,train_val,53,0.74822695035461,0.2978723404255319,1.0815602836879432,0.0070921985815602835,-0.11347517730496454,-0.18439716312056736,-0.02127659574468085
F0+distrib,Ridge,train_only,33,0.74822695035461,0.28368794326241137,1.0602836879432624,0.02127659574468085,-0.07801418439716312,-0.14893617021276595,0.03546099290780142
F0,LGB,train_val,13,0.74822695035461,0.3120567375886525,1.0460992907801419,0.04964539007092199,-0.19148936170212766,-0.1347517730496454,0.02127659574468085
F0+distrib,ElasticNet,train_val,33,0.7464539007092199,0.2765957446808511,1.0602836879432624,0.014184397163120567,-0.04964539007092199,-0.1347517730496454,0.028368794326241134
F0+conf,LR,train_val,33,0.7464539007092198,0.2765957446808511,1.0656028368794326,-0.02127659574468085,-0.07092198581560284,-0.23404255319148937,0.06382978723404255
F0,LGB,train_only,13,0.7464539007092198,0.3120567375886525,1.0868794326241136,0.06382978723404255,-0.18439716312056736,-0.19148936170212766,0.07801418439716312
F0+conf+spatial,XGB,train_val,41,0.7429078014184397,0.2978723404255319,1.0602836879432624,-0.02127659574468085,-0.19148936170212766,-0.09219858156028368,0.07801418439716312
F0+conf+spatial,LGB,train_val,41,0.7429078014184397,0.2907801418439716,1.0656028368794326,-0.03546099290780142,-0.14184397163120568,-0.1276595744680851,-0.05673758865248227
F0+conf,LR,train_only,33,0.7411347517730498,0.2765957446808511,1.072695035460993,0.0070921985815602835,-0.05673758865248227,-0.2198581560283688,0.09219858156028368
F0+conf+distrib,XGB,train_only,53,0.7411347517730497,0.2765957446808511,1.0868794326241136,0.03546099290780142,-0.11347517730496454,-0.12056737588652482,0.10638297872340426
F0+spatial,XGB,train_val,21,0.7393617021276595,0.28368794326241137,1.0815602836879432,0.028368794326241134,-0.09219858156028368,-0.12056737588652482,0.0851063829787234
F0+spatial,LGB,train_only,21,0.7375886524822696,0.2907801418439716,1.0762411347517729,0.028368794326241134,-0.19858156028368795,-0.1773049645390071,0.0851063829787234
F0+distrib,LGB,train_only,33,0.7375886524822696,0.3049645390070922,1.074468085106383,0.09219858156028368,-0.19148936170212766,-0.12056737588652482,0.07801418439716312
F0+conf,XGB,train_only,33,0.7375886524822695,0.2978723404255319,1.0602836879432624,0.0070921985815602835,-0.1347517730496454,-0.1702127659574468,0.014184397163120567
F0+distrib,XGB,train_val,33,0.7375886524822695,0.3049645390070922,1.1117021276595744,0.0425531914893617,-0.1276595744680851,-0.1347517730496454,0.14184397163120568
F_all,LR,train_val,67,0.7375886524822695,0.2765957446808511,1.0549645390070923,0.014184397163120567,-0.09219858156028368,-0.1773049645390071,0.10638297872340426
F_all,XGB,train_only,67,0.7358156028368794,0.28368794326241137,1.076241134751773,-0.0070921985815602835,-0.19148936170212766,-0.11347517730496454,0.19148936170212766
F0+conf+distrib,LR,train_only,53,0.7358156028368794,0.2624113475177305,1.0939716312056738,0.014184397163120567,-0.11347517730496454,-0.12056737588652482,0.15602836879432624
F0+conf,LGB,train_only,33,0.7358156028368794,0.24113475177304963,1.0673758865248226,0.028368794326241134,-0.14893617021276595,-0.06382978723404255,-0.028368794326241134
F0+conf+spatial,LGB,train_only,41,0.7340425531914894,0.2695035460992908,1.076241134751773,0.05673758865248227,-0.1347517730496454,-0.1347517730496454,0.03546099290780142
