features,model,n_dim,te_acc_B1,te_mae_B1,te_bias_B1,te_acc_B2,te_mae_B2,te_bias_B2,te_acc_B3,te_mae_B3,te_bias_B3,te_acc_B4,te_mae_B4,te_bias_B4,te_macro_acc,te_macro_mae,te_joint_acc,te_total_mae,va_acc_B1,va_mae_B1,va_bias_B1,va_acc_B2,va_mae_B2,va_bias_B2,va_acc_B3,va_mae_B3,va_bias_B3,va_acc_B4,va_mae_B4,va_bias_B4,va_macro_acc,va_macro_mae,va_joint_acc,va_total_mae
F3_all,LGB,45,0.9716312056737588,0.41134751773049644,-0.014184397163120567,0.7659574468085106,1.0425531914893618,-0.19148936170212766,0.5106382978723404,1.7304964539007093,-0.0425531914893617,0.7092198581560284,1.2695035460992907,0.02127659574468085,0.7393617021276596,1.1134751773049645,0.28368794326241137,2.0425531914893615,0.8958333333333334,0.5416666666666666,0.041666666666666664,0.6979166666666666,1.125,-0.1875,0.46875,1.71875,0.010416666666666666,0.6979166666666666,1.2395833333333333,0.23958333333333334,0.6901041666666666,1.15625,0.23958333333333334,2.0833333333333335
F2_structural,LGB,29,0.9432624113475178,0.4397163120567376,0.05673758865248227,0.8156028368794326,1.0141843971631206,-0.23404255319148937,0.5035460992907801,1.6950354609929077,-0.10638297872340426,0.6950354609929078,1.2624113475177305,0.014184397163120567,0.7393617021276595,1.102836879432624,0.3262411347517731,2.0141843971631204,0.9479166666666666,0.59375,0.052083333333333336,0.7083333333333334,1.1979166666666667,-0.23958333333333334,0.5,1.6875,0.125,0.6875,1.28125,0.19791666666666666,0.7109375,1.1901041666666667,0.2708333333333333,2.21875
F1_confidence,LGB,29,0.9574468085106383,0.4397163120567376,0.0425531914893617,0.7446808510638298,1.0921985815602837,-0.09929078014184398,0.5319148936170213,1.6028368794326242,-0.09929078014184398,0.7092198581560284,1.198581560283688,-0.0070921985815602835,0.7358156028368795,1.0833333333333333,0.2553191489361702,2.049645390070922,0.8958333333333334,0.4791666666666667,0.0,0.7291666666666666,1.0833333333333333,-0.16666666666666666,0.4583333333333333,1.71875,0.15625,0.6979166666666666,1.21875,0.28125,0.6953125,1.125,0.23958333333333334,2.0208333333333335
F3_all,GBR,45,0.9645390070921985,0.40425531914893614,-0.0070921985815602835,0.8085106382978723,0.9645390070921985,-0.19858156028368795,0.48936170212765956,1.6808510638297873,-0.07801418439716312,0.6808510638297872,1.3120567375886525,0.02127659574468085,0.7358156028368794,1.0904255319148937,0.2907801418439716,1.9787234042553192,0.90625,0.53125,-0.010416666666666666,0.6875,1.1458333333333333,-0.16666666666666666,0.4791666666666667,1.8125,0.16666666666666666,0.7291666666666666,1.1458333333333333,0.22916666666666666,0.7005208333333333,1.1588541666666665,0.2708333333333333,2.15625
F1_confidence,GBR,29,0.9645390070921985,0.41134751773049644,0.014184397163120567,0.7304964539007093,1.0567375886524824,-0.09219858156028368,0.5319148936170213,1.5957446808510638,-0.10638297872340426,0.7021276595744681,1.2765957446808511,0.09929078014184398,0.7322695035460993,1.0851063829787235,0.2978723404255319,1.8581560283687943,0.9166666666666666,0.5,-0.041666666666666664,0.6875,1.125,-0.16666666666666666,0.4166666666666667,1.84375,0.19791666666666666,0.6666666666666666,1.1979166666666667,0.21875,0.6718749999999999,1.1666666666666667,0.21875,2.1666666666666665
F0_baseline,GBR,13,0.9574468085106383,0.425531914893617,0.0425531914893617,0.7446808510638298,1.1134751773049645,-0.20567375886524822,0.524822695035461,1.6099290780141844,-0.24822695035460993,0.7021276595744681,1.2340425531914894,0.14184397163120568,0.7322695035460993,1.0957446808510638,0.2765957446808511,2.0141843971631204,0.90625,0.5520833333333334,0.09375,0.6145833333333334,1.3125,-0.16666666666666666,0.5208333333333334,1.6666666666666667,0.08333333333333333,0.65625,1.3229166666666667,0.34375,0.6744791666666667,1.2135416666666667,0.20833333333333334,2.2083333333333335
F2_structural,XGB,29,0.9645390070921985,0.3829787234042553,0.05673758865248227,0.7588652482269503,1.0070921985815602,-0.19858156028368795,0.524822695035461,1.6382978723404256,-0.16312056737588654,0.6808510638297872,1.2836879432624113,0.06382978723404255,0.7322695035460993,1.078014184397163,0.2907801418439716,1.9858156028368794,0.9583333333333334,0.4583333333333333,0.0625,0.6979166666666666,1.2291666666666667,-0.25,0.5104166666666666,1.75,0.08333333333333333,0.7291666666666666,1.21875,0.21875,0.7239583333333333,1.1640625,0.23958333333333334,2.2604166666666665
F0_baseline,XGB,13,0.9645390070921985,0.3900709219858156,0.03546099290780142,0.7375886524822695,1.0851063829787233,-0.23404255319148937,0.5177304964539007,1.6595744680851063,-0.1702127659574468,0.6879432624113475,1.2411347517730495,0.12056737588652482,0.726950354609929,1.0939716312056738,0.2624113475177305,1.9787234042553192,0.9270833333333334,0.46875,0.09375,0.6145833333333334,1.3020833333333333,-0.13541666666666666,0.5520833333333334,1.65625,0.09375,0.6354166666666666,1.3645833333333333,0.23958333333333334,0.6822916666666666,1.1979166666666665,0.20833333333333334,2.0625
F3_all,XGB,45,0.9645390070921985,0.3829787234042553,-0.014184397163120567,0.7659574468085106,1.0,-0.2198581560283688,0.48226950354609927,1.6666666666666667,-0.12056737588652482,0.6879432624113475,1.3404255319148937,0.12056737588652482,0.7251773049645389,1.0975177304964538,0.2695035460992908,1.9219858156028369,0.90625,0.5,-0.041666666666666664,0.6770833333333334,1.15625,-0.15625,0.4479166666666667,1.8020833333333333,0.19791666666666666,0.6979166666666666,1.2291666666666667,0.22916666666666666,0.6822916666666666,1.171875,0.25,2.1458333333333335
F2_structural,GBR,29,0.9432624113475178,0.44680851063829785,0.07801418439716312,0.7872340425531915,1.0354609929078014,-0.2695035460992908,0.5177304964539007,1.702127659574468,-0.19858156028368795,0.6453900709219859,1.2907801418439717,0.014184397163120567,0.723404255319149,1.1187943262411348,0.2553191489361702,2.148936170212766,0.9375,0.5104166666666666,0.03125,0.6875,1.2395833333333333,-0.23958333333333334,0.5625,1.6979166666666667,0.03125,0.6666666666666666,1.3229166666666667,0.23958333333333334,0.7135416666666666,1.1927083333333335,0.2604166666666667,2.1458333333333335
