features,model,strategy,n_dim,train_trees,test_trees,macro,joint,mae,acc_B1,acc_B2,acc_B3,acc_B4,mae_B1,mae_B2,mae_B3,mae_B4,bias_B1,bias_B2,bias_B3,bias_B4
F0+conf+distrib,LR,train_val,53,812,141,0.75,0.2907801418439716,1.0567375886524824,0.9574468085106383,0.8014184397163121,0.5390070921985816,0.7021276595744681,0.3829787234042553,1.049645390070922,1.5673758865248226,1.2269503546099292,0.014184397163120567,-0.09929078014184398,-0.19148936170212766,0.12056737588652482
F0+conf+distrib,SVM,train_val,53,812,141,0.7340425531914894,0.23404255319148937,1.0567375886524824,0.9716312056737588,0.7588652482269503,0.524822695035461,0.6808510638297872,0.41134751773049644,0.9787234042553191,1.6382978723404256,1.198581560283688,-0.028368794326241134,-0.49645390070921985,-0.2624113475177305,-0.2624113475177305
F0+conf+distrib,RF,train_val,53,812,141,0.7411347517730495,0.28368794326241137,1.0815602836879434,0.9645390070921985,0.7659574468085106,0.5460992907801419,0.6879432624113475,0.40425531914893614,1.0567375886524824,1.5815602836879432,1.2836879432624113,-0.02127659574468085,-0.10638297872340426,-0.1773049645390071,0.19148936170212766
F0+conf+distrib,Ridge,train_val,53,812,141,0.7588652482269505,0.28368794326241137,1.051418439716312,0.9716312056737588,0.8014184397163121,0.5319148936170213,0.7304964539007093,0.3617021276595745,1.049645390070922,1.5673758865248226,1.2269503546099292,0.0070921985815602835,-0.0851063829787234,-0.1347517730496454,0.03546099290780142
F0+conf+distrib,ElasticNet,train_val,53,812,141,0.7588652482269505,0.2765957446808511,1.0585106382978724,0.9716312056737588,0.8014184397163121,0.5319148936170213,0.7304964539007093,0.36879432624113473,1.070921985815603,1.5886524822695036,1.2056737588652482,0.0,-0.06382978723404255,-0.1276595744680851,0.028368794326241134
F0+distrib+spatial,LR,train_only,41,716,141,0.7517730496453902,0.2978723404255319,1.0567375886524824,0.9574468085106383,0.8014184397163121,0.5390070921985816,0.7092198581560284,0.3900709219858156,1.0425531914893618,1.6170212765957446,1.177304964539007,0.0070921985815602835,-0.16312056737588654,-0.15602836879432624,0.05673758865248227
F0+distrib+spatial,SVM,train_only,41,716,141,0.74822695035461,0.2907801418439716,1.047872340425532,0.9574468085106383,0.7943262411347518,0.5673758865248227,0.6737588652482269,0.41843971631205673,1.0,1.574468085106383,1.198581560283688,0.0070921985815602835,-0.5035460992907801,-0.3829787234042553,-0.2198581560283688
F0+distrib+spatial,RF,train_only,41,716,141,0.7358156028368794,0.2978723404255319,1.0425531914893618,0.9574468085106383,0.7659574468085106,0.5390070921985816,0.6808510638297872,0.40425531914893614,1.0212765957446808,1.5177304964539007,1.2269503546099292,0.03546099290780142,-0.15602836879432624,-0.18439716312056736,0.14893617021276595
F0+distrib+spatial,Ridge,train_only,41,716,141,0.7570921985815603,0.3049645390070922,1.047872340425532,0.9645390070921985,0.8085106382978723,0.5460992907801419,0.7092198581560284,0.3404255319148936,1.049645390070922,1.6099290780141844,1.1914893617021276,0.014184397163120567,-0.11347517730496454,-0.14893617021276595,0.05673758865248227
F0+distrib+spatial,ElasticNet,train_only,41,716,141,0.75177304964539,0.2907801418439716,1.0602836879432624,0.9645390070921985,0.8014184397163121,0.524822695035461,0.7163120567375887,0.3546099290780142,1.0638297872340425,1.6170212765957446,1.2056737588652482,0.014184397163120567,-0.07092198581560284,-0.14184397163120568,0.05673758865248227
F0+distrib+spatial,LR,train_val,41,812,141,0.75177304964539,0.3120567375886525,1.0390070921985815,0.950354609929078,0.8085106382978723,0.5531914893617021,0.6950354609929078,0.3971631205673759,1.0283687943262412,1.5673758865248226,1.1631205673758864,0.028368794326241134,-0.1347517730496454,-0.16312056737588654,0.0425531914893617
F0+distrib+spatial,SVM,train_val,41,812,141,0.7411347517730495,0.2765957446808511,1.0531914893617023,0.9574468085106383,0.7943262411347518,0.5390070921985816,0.6737588652482269,0.40425531914893614,0.9716312056737588,1.6170212765957446,1.2198581560283688,-0.0070921985815602835,-0.5035460992907801,-0.3404255319148936,-0.19858156028368795
F0+distrib+spatial,RF,train_val,41,812,141,0.7411347517730497,0.2907801418439716,1.0638297872340425,0.9645390070921985,0.7730496453900709,0.5460992907801419,0.6808510638297872,0.3971631205673759,1.0354609929078014,1.574468085106383,1.24822695035461,0.028368794326241134,-0.14184397163120568,-0.18439716312056736,0.1276595744680851
F0+distrib+spatial,Ridge,train_val,41,812,141,0.75177304964539,0.2765957446808511,1.0638297872340425,0.9645390070921985,0.8156028368794326,0.5035460992907801,0.723404255319149,0.36879432624113473,1.049645390070922,1.624113475177305,1.2127659574468086,0.014184397163120567,-0.0425531914893617,-0.1347517730496454,0.0070921985815602835
