threshold,features,model,test_detections,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
0.2,F0,Ridge,3006.0,0.9574468085106383,0.3971631205673759,0.6944562646748168,0.014184397163120567,0.7872340425531915,1.070921985815603,1.4899188420945515,-0.12056737588652482,0.48936170212765956,1.5957446808510638,2.0158942896972656,-0.09219858156028368,0.6950354609929078,1.24822695035461,1.6459707950495441,0.0,0.7322695035460993,1.0780141843971631,1.4615600478790447,0.2553191489361702,0.0,1.8439716312056738,2.3032508632381083,-0.19858156028368795,0.475177304964539
0.2,F_all,Ridge,3006.0,0.9574468085106383,0.3900709219858156,0.689331056143954,-0.0070921985815602835,0.8085106382978723,1.0425531914893618,1.4610789756374039,-0.10638297872340426,0.5319148936170213,1.574468085106383,1.9964507514178453,-0.14184397163120568,0.6737588652482269,1.2553191489361701,1.68640790771559,-0.0070921985815602835,0.7429078014184398,1.0656028368794326,1.4583171727286983,0.2695035460992908,0.014184397163120567,1.8652482269503545,2.371521341919002,-0.2624113475177305,0.46808510638297873
0.25,F0,ElasticNet,2353.0,0.9645390070921985,0.3475177304964539,0.6468691647559471,0.0070921985815602835,0.8014184397163121,1.0780141843971631,1.48753687599562,-0.05673758865248227,0.5531914893617021,1.5390070921985815,1.9696275343611225,-0.12056737588652482,0.7375886524822695,1.198581560283688,1.6177210132144988,-0.0070921985815602835,0.7641843971631206,1.0407801418439715,1.4304386470817971,0.2907801418439716,0.0070921985815602835,1.8936170212765957,2.401240813997736,-0.1773049645390071,0.475177304964539
0.25,F0,Ridge,2353.0,0.9574468085106383,0.36879432624113473,0.6737215368532151,0.028368794326241134,0.8014184397163121,1.070921985815603,1.4610789756374039,-0.03546099290780142,0.5602836879432624,1.5460992907801419,1.9533568124844556,-0.1276595744680851,0.7304964539007093,1.198581560283688,1.613330988803173,-0.02127659574468085,0.7624113475177305,1.0460992907801419,1.425372078444562,0.28368794326241137,0.0,1.9432624113475176,2.426216153333218,-0.15602836879432624,0.46808510638297873
0.25,F_all,Ridge,2353.0,0.9716312056737588,0.36879432624113473,0.6523280730534422,0.014184397163120567,0.8297872340425532,1.0141843971631206,1.4366035595229614,-0.07801418439716312,0.574468085106383,1.5602836879432624,1.9928951818080545,-0.18439716312056736,0.723404255319149,1.2056737588652482,1.5978709238739224,0.07092198581560284,0.774822695035461,1.0372340425531914,1.4199244345645952,0.3262411347517731,0.014184397163120567,1.7943262411347518,2.2612994444135355,-0.1773049645390071,0.48226950354609927
0.3,F0,ElasticNet,1861.0,0.9574468085106383,0.3900709219858156,0.689331056143954,-0.0070921985815602835,0.7730496453900709,1.127659574468085,1.5088392043822467,-0.06382978723404255,0.5390070921985816,1.5815602836879432,2.0438456312889697,-0.19148936170212766,0.6666666666666666,1.2836879432624113,1.723841989764073,-0.03546099290780142,0.7340425531914894,1.0957446808510638,1.4914644703948108,0.2695035460992908,0.0070921985815602835,2.099290780141844,2.647091271297905,-0.2978723404255319,0.3900709219858156
0.3,F0,Ridge,1861.0,0.9574468085106383,0.3900709219858156,0.7096098218674683,-0.02127659574468085,0.7730496453900709,1.1347517730496455,1.5111875936700947,-0.05673758865248227,0.5531914893617021,1.5815602836879432,2.050773941434123,-0.16312056737588654,0.6595744680851063,1.2695035460992907,1.7073059529625252,-0.03546099290780142,0.7358156028368794,1.0939716312056738,1.4947193274835526,0.2765957446808511,0.0070921985815602835,2.106382978723404,2.6430693526347127,-0.2765957446808511,0.3829787234042553
0.3,F_all,Ridge,1861.0,0.9645390070921985,0.3829787234042553,0.6944562646748168,-0.014184397163120567,0.7943262411347518,1.1063829787234043,1.5017720029805357,-0.09929078014184398,0.5531914893617021,1.574468085106383,2.035152075799547,-0.1276595744680851,0.6737588652482269,1.297872340425532,1.723841989764073,-0.02127659574468085,0.7464539007092199,1.0904255319148937,1.4888055833047433,0.28368794326241137,0.0070921985815602835,2.0921985815602837,2.656452067825144,-0.2624113475177305,0.41134751773049644
0.35,F0,ElasticNet,1488.0,0.9574468085106383,0.3971631205673759,0.6944562646748168,-0.0425531914893617,0.7801418439716312,1.127659574468085,1.5275252316519468,-0.09219858156028368,0.524822695035461,1.6312056737588652,2.100320813049877,-0.15602836879432624,0.6312056737588653,1.3617021276595744,1.7745242095313227,0.14184397163120568,0.723404255319149,1.1294326241134751,1.5242066297269907,0.24113475177304963,0.014184397163120567,2.2624113475177303,2.8719726583577723,-0.14893617021276595,0.40425531914893614
0.35,F0,Ridge,1488.0,0.9574468085106383,0.40425531914893614,0.6995439243733446,-0.04964539007092199,0.7730496453900709,1.127659574468085,1.5321611307223708,-0.09219858156028368,0.5106382978723404,1.6524822695035462,2.125495353195085,-0.14893617021276595,0.6312056737588653,1.3617021276595744,1.7745242095313227,0.14184397163120568,0.7180851063829787,1.1365248226950355,1.5329311544555309,0.22695035460992907,0.014184397163120567,2.276595744680851,2.896561914060498,-0.14893617021276595,0.41134751773049644
0.35,F_all,Ridge,1488.0,0.9574468085106383,0.3971631205673759,0.7145896010104964,-0.0425531914893617,0.7943262411347518,1.1347517730496455,1.5528514152134765,-0.11347517730496454,0.5035460992907801,1.673758865248227,2.150375194048077,-0.09929078014184398,0.6666666666666666,1.3404255319148937,1.7524046295920366,0.04964539007092199,0.7304964539007092,1.1365248226950353,1.5425552099660218,0.23404255319148937,0.0070921985815602835,2.24822695035461,2.8095581541012096,-0.20567375886524822,0.3971631205673759
0.4,F0,ElasticNet,1223.0,0.9574468085106383,0.3829787234042553,0.7045948486252365,-0.05673758865248227,0.7588652482269503,1.1560283687943262,1.5596871844941143,-0.12056737588652482,0.49645390070921985,1.7092198581560283,2.1717071756426067,-0.10638297872340426,0.5390070921985816,1.4609929078014185,1.833494512579619,0.1702127659574468,0.6879432624113475,1.1773049645390072,1.567370930335394,0.20567375886524822,0.0,2.482269503546099,3.1239182524878832,-0.11347517730496454,0.3546099290780142
0.4,F0,Ridge,1223.0,0.9574468085106383,0.3829787234042553,0.7045948486252365,-0.05673758865248227,0.7730496453900709,1.148936170212766,1.5482774688560756,-0.1276595744680851,0.48936170212765956,1.7092198581560283,2.174970448971827,-0.1347517730496454,0.5602836879432624,1.4326241134751774,1.814050755035253,0.14184397163120568,0.6950354609929078,1.1684397163120568,1.560473380372098,0.2198581560283688,0.0,2.475177304964539,3.11596210794612,-0.1773049645390071,0.3617021276595745
