features,model,scale,shift,noise,macro,joint,mae,d_macro_pp,d_joint_pp
F_all,Ridge,1.1,-0.1,0.0,0.7712765957446808,0.3333333333333333,1.0460992907801419,-0.35460992907802025,0.7092198581560238
F_all,Ridge,1.1,-0.05,0.0,0.774822695035461,0.3262411347517731,1.0407801418439715,0.0,0.0
F_all,Ridge,1.1,-0.02,0.0,0.7730496453900709,0.3262411347517731,1.0319148936170213,-0.17730496453900457,0.0
F_all,Ridge,1.1,0.0,0.0,0.7677304964539008,0.3191489361702128,1.0336879432624113,-0.7092198581560183,-0.7092198581560294
F_all,Ridge,1.1,0.02,0.0,0.7659574468085107,0.3120567375886525,1.0319148936170213,-0.8865248226950229,-1.4184397163120588
F_all,Ridge,1.1,0.05,0.0,0.7641843971631206,0.3049645390070922,1.0372340425531914,-1.0638297872340385,-2.127659574468088
F_all,Ridge,1.1,0.1,0.0,0.7606382978723404,0.2978723404255319,1.0478723404255321,-1.4184397163120588,-2.8368794326241176
F0+spatial,Ridge,0.9,-0.1,0.0,0.7535460992907802,0.2978723404255319,1.0797872340425532,-1.241134751773043,-0.7092198581560294
F0+spatial,Ridge,0.9,-0.05,0.0,0.7624113475177304,0.3191489361702128,1.0567375886524824,-0.35460992907802025,1.4184397163120588
F0+spatial,Ridge,0.9,-0.02,0.0,0.7659574468085106,0.3191489361702128,1.047872340425532,0.0,1.4184397163120588
F0+spatial,Ridge,0.9,0.0,0.0,0.7677304964539007,0.3120567375886525,1.0443262411347518,0.17730496453900457,0.7092198581560294
F0+spatial,Ridge,0.9,0.02,0.0,0.7677304964539007,0.3049645390070922,1.047872340425532,0.17730496453900457,0.0
F0+spatial,Ridge,0.9,0.05,0.0,0.7641843971631206,0.2978723404255319,1.0460992907801419,-0.17730496453900457,-0.7092198581560294
F0+spatial,Ridge,0.9,0.1,0.0,0.7588652482269503,0.2907801418439716,1.0425531914893615,-0.7092198581560294,-1.4184397163120588
F0+spatial,Ridge,0.95,-0.1,0.0,0.7606382978723404,0.3191489361702128,1.069148936170213,-0.5319148936170248,1.4184397163120588
F0+spatial,Ridge,0.95,-0.05,0.0,0.7641843971631206,0.3191489361702128,1.047872340425532,-0.17730496453900457,1.4184397163120588
F0+spatial,Ridge,0.95,-0.02,0.0,0.7677304964539007,0.3120567375886525,1.0443262411347518,0.17730496453900457,0.7092198581560294
F0+spatial,Ridge,0.95,0.0,0.0,0.7677304964539007,0.3049645390070922,1.047872340425532,0.17730496453900457,0.0
F0+spatial,Ridge,0.95,0.02,0.0,0.7659574468085106,0.3049645390070922,1.0460992907801419,0.0,0.0
F0+spatial,Ridge,0.95,0.05,0.0,0.7606382978723404,0.2907801418439716,1.051418439716312,-0.5319148936170248,-1.4184397163120588
F0+spatial,Ridge,0.95,0.1,0.0,0.7606382978723404,0.28368794326241137,1.0425531914893618,-0.5319148936170248,-2.1276595744680824
F0+spatial,Ridge,1.0,-0.1,0.0,0.7624113475177304,0.3191489361702128,1.0638297872340425,-0.35460992907802025,1.4184397163120588
F0+spatial,Ridge,1.0,-0.05,0.0,0.7641843971631206,0.3120567375886525,1.047872340425532,-0.17730496453900457,0.7092198581560294
F0+spatial,Ridge,1.0,-0.02,0.0,0.7677304964539007,0.3120567375886525,1.0443262411347518,0.17730496453900457,0.7092198581560294
F0+spatial,Ridge,1.0,0.0,0.0,0.7659574468085106,0.3049645390070922,1.0460992907801419,0.0,0.0
F0+spatial,Ridge,1.0,0.0,0.01,0.7624113475177305,0.2978723404255319,1.0443262411347518,-0.35460992907800915,-0.7092198581560294
F0+spatial,Ridge,1.0,0.0,0.03,0.7624113475177304,0.2978723404255319,1.0443262411347518,-0.35460992907802025,-0.7092198581560294
F0+spatial,Ridge,1.0,0.0,0.05,0.7677304964539007,0.3120567375886525,1.0531914893617023,0.17730496453900457,0.7092198581560294
F0+spatial,Ridge,1.0,0.02,0.0,0.7624113475177305,0.2978723404255319,1.047872340425532,-0.35460992907800915,-0.7092198581560294
F0+spatial,Ridge,1.0,0.05,0.0,0.7606382978723404,0.2907801418439716,1.0443262411347518,-0.5319148936170248,-1.4184397163120588
F0+spatial,Ridge,1.0,0.1,0.0,0.7641843971631206,0.2978723404255319,1.0354609929078014,-0.17730496453900457,-0.7092198581560294
