condition,features,model,n_dim,acc_B1,mae_B1,rmse_B1,bias_B1,acc_B2,mae_B2,rmse_B2,bias_B2,acc_B3,mae_B3,rmse_B3,bias_B3,acc_B4,mae_B4,rmse_B4,bias_B4,macro,mae,rmse,joint,exact,total_mae,total_rmse,total_bias,total_acc
gt,F0,LR,13,1.0,0.05673758865248227,0.23819653367016547,-0.0425531914893617,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.07092198581560284,0.9148936170212766,0.5957446808510638,0.8751899489873673,-0.0425531914893617,0.9929078014184397,0.24113475177304963,0.5052911526399113,0.0,0.975177304964539,0.276595744680851,0.5237676756594438,0.900709219858156,0.2765957446808511,1.0070921985815602,1.3368747295663836,-0.014184397163120567,0.7659574468085106
gt,F0,Ridge,13,1.0,0.04964539007092199,0.2228124549277306,-0.04964539007092199,0.9929078014184397,0.22695035460992907,0.49105473398904287,0.07092198581560284,0.9219858156028369,0.5957446808510638,0.8670484701822557,-0.05673758865248227,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.014184397163120567,0.9769503546099292,0.274822695035461,0.517992598272018,0.9078014184397163,0.2765957446808511,0.9716312056737588,1.312784923481051,-0.04964539007092199,0.7801418439716312
gt,F0,ElasticNet,13,1.0,0.04964539007092199,0.2228124549277306,-0.04964539007092199,0.9929078014184397,0.22695035460992907,0.5191373094849674,0.0425531914893617,0.9361702127659575,0.6028368794326241,0.8546908528238203,-0.06382978723404255,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.028368794326241134,0.9804964539007093,0.276595744680851,0.5219238378063903,0.9219858156028369,0.2553191489361702,0.9787234042553191,1.2937383295118943,-0.09929078014184398,0.7801418439716312
gt,F0,SVM,13,1.0,0.0425531914893617,0.20628424925175867,-0.0425531914893617,0.9858156028368794,0.20567375886524822,0.4837794468468967,-0.02127659574468085,0.9361702127659575,0.5886524822695035,0.8629489272626913,-0.09219858156028368,0.9929078014184397,0.22695035460992907,0.49105473398904287,-0.0425531914893617,0.9787234042553192,0.26595744680851063,0.5110168393375975,0.9148936170212766,0.3120567375886525,0.9361702127659575,1.2882447236783492,-0.19858156028368795,0.7730496453900709
gt,F0,RF,13,0.9858156028368794,0.14893617021276595,0.45351268875881323,-0.06382978723404255,0.9858156028368794,0.24822695035460993,0.5522359450516529,-0.0070921985815602835,0.9078014184397163,0.6950354609929078,0.9821094679780857,0.014184397163120567,0.9574468085106383,0.36879432624113473,0.6737215368532151,-0.07092198581560284,0.9592198581560284,0.36524822695035464,0.6653949096604417,0.8439716312056738,0.2198581560283688,1.148936170212766,1.5889690667333525,-0.1276595744680851,0.6950354609929078
gt,F_all,LR,67,1.0,0.0425531914893617,0.20628424925175867,-0.0425531914893617,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.028368794326241134,0.900709219858156,0.6737588652482269,0.9490570161260893,-0.0070921985815602835,0.9929078014184397,0.24113475177304963,0.5052911526399113,0.014184397163120567,0.9716312056737589,0.29255319148936165,0.5342563713395225,0.8865248226950354,0.2624113475177305,1.0425531914893618,1.381231848184698,-0.0070921985815602835,0.7304964539007093
gt,F_all,Ridge,67,1.0,0.05673758865248227,0.23819653367016547,-0.028368794326241134,0.9929078014184397,0.2127659574468085,0.47639306734033093,0.0,0.9219858156028369,0.5957446808510638,0.8832563863180561,-0.0425531914893617,0.9929078014184397,0.23404255319148937,0.4982237954520136,0.0070921985815602835,0.9769503546099292,0.274822695035461,0.5240174456951415,0.9078014184397163,0.2978723404255319,0.9432624113475178,1.3181762600207414,-0.06382978723404255,0.7872340425531915
gt,F_all,ElasticNet,67,1.0,0.05673758865248227,0.23819653367016547,-0.0425531914893617,0.9929078014184397,0.22695035460992907,0.5191373094849674,-0.014184397163120567,0.9219858156028369,0.6170212765957447,0.8952197717411697,-0.04964539007092199,0.9929078014184397,0.23404255319148937,0.4982237954520136,-0.03546099290780142,0.9769503546099292,0.2836879432624113,0.537694352587079,0.9078014184397163,0.2695035460992908,1.0070921985815602,1.3579291701726102,-0.14184397163120568,0.75177304964539
gt,F_all,SVM,67,0.9929078014184397,0.07092198581560284,0.2917299829957891,-0.028368794326241134,0.9858156028368794,0.24822695035460993,0.5259237061407777,-0.02127659574468085,0.8936170212765957,0.6808510638297872,0.9602009246000739,-0.07092198581560284,0.9716312056737588,0.3049645390070922,0.6577416768573946,-0.09219858156028368,0.9609929078014184,0.3262411347517731,0.6088990726485088,0.8581560283687943,0.2624113475177305,1.049645390070922,1.4488929498558007,-0.2127659574468085,0.723404255319149
gt,F_all,RF,67,0.9858156028368794,0.14893617021276595,0.45351268875881323,-0.06382978723404255,0.9858156028368794,0.2907801418439716,0.5895063447465633,0.02127659574468085,0.900709219858156,0.6808510638297872,0.9675588936937934,0.014184397163120567,0.9645390070921985,0.3546099290780142,0.6523280730534422,-0.05673758865248227,0.9592198581560284,0.3687943262411348,0.665726500063153,0.8439716312056738,0.19858156028368795,1.2056737588652482,1.632993161855452,-0.0851063829787234,0.7021276595744681
